Episode,NodeCount
100,106
200,107
300,107
400,106
500,106
600,106
700,105
800,105
900,105
1000,105
1100,104
1200,103
1300,102
1400,101
1500,101
1600,100
1700,100
1800,100
1900,100
2000,100
2100,100
2200,100
2300,100
2400,100
2500,100
2600,100
2700,101
2800,100
2900,100
3000,100
3100,100
3200,99
3300,98
3400,98
3500,98
3600,97
3700,97
3800,96
3900,96
4000,96
4100,95
4200,95
4300,95
4400,95
4500,95
4600,95
4700,95
4800,94
4900,94
5000,94
