Episode,Duration
1,0.000728949
2,0.000609917
3,0.000517094
4,0.000560354
5,0.000550195
6,0.000588416
7,0.000705063
8,0.000618112
9,0.000742143
10,0.00143758
11,0.000451762
12,0.000467691
13,0.000459436
14,0.000540567
15,0.00053105
16,0.000484022
17,0.000613824
18,0.00056342
19,0.00133351
20,0.000371362
21,0.000365931
22,0.000345824
23,0.000434089
24,0.00046646
25,0.000474585
26,0.000450539
27,0.000447053
28,0.000458604
29,0.00142696
30,0.000401368
31,0.000404424
32,0.000412959
33,0.000420984
34,0.000449478
35,0.000535457
36,0.000574651
37,0.000507566
38,0.000523716
39,0.00133962
40,0.000291363
41,0.000311941
42,0.00029004
43,0.000355512
44,0.000417989
45,0.000421706
46,0.000449388
47,0.000442836
48,0.000442384
49,0.00182042
50,0.00046176
51,0.000408331
52,0.000428579
53,0.00040794
54,0.000458635
55,0.000439819
56,0.000436644
57,0.000421866
58,0.000398082
59,0.000411698
60,0.00167865
61,0.000432867
62,0.000408862
63,0.000406117
64,0.00041314
65,0.000384767
66,0.000449918
67,0.000413681
68,0.000441273
69,0.000481798
70,0.000554914
71,0.00161258
72,0.000357647
73,0.000330596
74,0.000341386
75,0.00033826
76,0.000350082
77,0.000342428
78,0.000331247
79,0.000342037
80,0.00033816
81,0.000356925
82,0.000496445
83,0.000463915
84,0.000470527
85,0.00158068
86,0.000346205
87,0.000348119
88,0.000340043
89,0.000282125
90,0.000283298
91,0.000290662
92,0.000293437
93,0.000358338
94,0.000312853
95,0.000277938
96,0.000288558
97,0.000301593
98,0.000312893
99,0.000296974
100,0.000299949
101,0.000413881
102,0.00135886
103,0.000342508
104,0.000341937
105,0.000392692
106,0.000384616
107,0.00037592
108,0.00044568
109,0.000480235
110,0.000501194
111,0.000478201
112,0.000455749
113,0.000403332
114,0.000449528
115,0.000427576
116,0.000417037
117,0.000409974
118,0.000414262
119,0.000433448
120,0.000424481
121,0.000513407
122,0.00189035
123,0.000355402
124,0.000368277
125,0.00038639
126,0.000398563
127,0.000435061
128,0.000390898
129,0.000413681
130,0.000420524
131,0.000382442
132,0.000413781
133,0.000371242
134,0.000399815
135,0.000415384
136,0.000411547
137,0.000405305
138,0.000358458
139,0.000373536
140,0.000395768
141,0.000417709
142,0.000425413
143,0.000414813
144,0.0016082
145,0.000441302
146,0.000433859
147,0.000376231
148,0.000394976
149,0.000404303
150,0.000426535
151,0.00040805
152,0.000347347
153,0.000299418
154,0.000283909
155,0.000341426
156,0.000323432
157,0.000351976
158,0.000361504
159,0.000330085
160,0.000319405
161,0.000347527
162,0.000342899
163,0.000318343
164,0.000359239
165,0.000306882
166,0.00142087
167,0.000369388
168,0.000416686
169,0.00036525
170,0.000298346
171,0.000280693
172,0.000298827
173,0.000314836
174,0.000283579
175,0.00027903
176,0.000290952
177,0.000279371
178,0.000274391
179,0.000293757
180,0.000282065
181,0.000340194
182,0.000396949
183,0.000389787
184,0.000347046
185,0.000359129
186,0.000345714
187,0.000349441
188,0.000350393
189,0.00148064
190,0.000406387
191,0.000404113
192,0.000382563
193,0.000383745
194,0.000357306
195,0.000348199
196,0.000319315
197,0.000308265
198,0.000317933
199,0.000334073
200,0.000324825
201,0.00038606
202,0.000382252
203,0.00041309
204,0.000412619
205,0.000425182
206,0.000521372
207,0.000424221
208,0.000365581
209,0.000336026
210,0.000382993
211,0.00141335
212,0.000285763
213,0.000270434
214,0.000260015
215,0.000264904
216,0.000272298
217,0.00026277
218,0.000273931
219,0.000262178
220,0.000282466
221,0.000266096
222,0.000271987
223,0.000266366
224,0.000275022
225,0.000274482
226,0.000281084
227,0.000285312
228,0.000338932
