Episode,AvgNodeCount
100,1590.78
200,2366.22
300,2952.89
400,3400.56
500,3822.11
600,4189.78
700,4509.78
800,4735.44
900,4973
1000,5205.11
1100,5436.67
1200,5630.33
1300,5835.67
1400,6020.33
1500,6199.67
1600,6383
1700,6549.89
1800,6724.11
1900,6900.67
2000,7045.67
2100,7200.44
2200,7353.78
2300,7495.11
2400,7634.56
2500,7770
2600,7895.33
2700,8052.22
2800,8181.78
2900,8299
3000,8426.78
3100,8541.89
3200,8632
3300,8750.56
3400,8866.44
3500,8976.22
3600,9088.44
3700,9200.67
3800,9306.22
3900,9412.56
4000,9509.33
4100,9617.67
4200,9715.67
4300,9811.33
4400,9907.56
4500,10006.8
4600,10100.9
4700,10209.4
4800,10296.6
4900,10387.2
5000,10475.8
5100,10562.2
5200,10641.9
5300,10733
5400,10817.8
5500,10905
5600,10984.4
5700,11064.9
5800,11138.7
5900,11210.8
6000,11293.2
6100,11373.1
6200,11455.3
6300,11535.4
6400,11613.2
6500,11690.1
6600,11765.7
6700,11845.9
6800,11925.1
6900,12003.6
7000,12070.3
7100,12142.2
7200,12213.3
7300,12279.6
7400,12349.8
7500,12424.4
7600,12499.8
7700,12568.2
7800,12639.3
7900,12714.9
8000,12769.4
8100,12838.7
8200,12902.7
8300,12970.3
8400,13039.9
8500,13114.4
8600,13181.2
8700,13243.1
8800,13306.6
8900,13365.8
9000,13432.7
9100,13499
9200,13558.1
9300,13616.8
9400,13682.1
9500,13751.4
9600,13813.2
9700,13873.2
9800,13929
9900,13992.7
10000,14054.8
10100,14114
10200,14178.1
10300,14242.9
10400,14308
10500,14375.7
10600,14435.9
10700,14493.9
10800,14554
10900,14614.2
11000,14679.2
11100,14738.6
11200,14803.9
11300,14865.6
11400,14920.1
11500,14973.7
11600,15028
11700,15083
11800,15139.7
11900,15196.8
12000,15252
12100,15315.4
12200,15362
12300,15415.8
12400,15465
12500,15520.7
12600,15574.4
12700,15627.6
12800,15679.4
12900,15736
13000,15786.4
13100,15835.7
13200,15890
13300,15942.3
13400,15996.2
13500,16041.1
13600,16090.9
13700,16145.9
13800,16199.2
13900,16250.7
14000,16301.4
14100,16352
14200,16399.2
14300,16448.8
14400,16496.6
14500,16543.9
14600,16589.1
14700,16635.2
14800,16683.8
14900,16735.4
15000,16778.9
15100,16822.9
15200,16864.9
15300,16906
15400,16953.2
15500,17000.9
15600,17047
15700,17092.6
15800,17142.6
15900,17187.1
16000,17237.1
16100,17280.3
16200,17323.2
16300,17359.6
16400,17403.4
16500,17448.1
16600,17494
16700,17539.6
16800,17579.1
16900,17627.9
17000,17667.1
17100,17706.4
17200,17748
17300,17796.9
17400,17840.1
17500,17885.9
17600,17927.2
17700,17967.4
17800,18013.4
17900,18056.3
18000,18099.7
18100,18141.1
18200,18182.6
18300,18217
18400,18253.4
18500,18292.6
18600,18333.9
18700,18379.4
18800,18422
18900,18467.6
19000,18503.8
19100,18548.1
19200,18590.2
19300,18635.4
19400,18679
19500,18721
19600,18759.9
19700,18803.8
19800,18843.1
19900,18875.9
20000,18919.2
20100,18961.1
20200,19001.2
20300,19036.7
20400,19074.4
20500,19112.7
20600,19150.2
20700,19192
20800,19233.3
20900,19271.2
21000,19314.6
21100,19354.6
21200,19390.4
21300,19422.6
21400,19462.4
21500,19500.8
21600,19537.2
21700,19579.4
21800,19616.1
21900,19654.6
22000,19692.6
22100,19726.4
22200,19763.6
22300,19801.2
22400,19834.9
22500,19872.3
22600,19909.3
22700,19950.3
22800,19980.8
22900,20022.1
23000,20061.2
23100,20095.1
23200,20124.1
23300,20160.4
23400,20197.1
23500,20231.1
23600,20265.2
23700,20303.1
23800,20335
23900,20370.1
24000,20401.3
24100,20435.7
24200,20462.3
24300,20498.3
24400,20529.1
24500,20562.7
24600,20595.8
24700,20625.8
24800,20661.4
24900,20693.4
25000,20726.9
25100,20727.9
25200,20769.1
25300,20801.1
25400,20836.3
25500,20871
25600,20906
25700,20940.6
25800,20975.7
25900,21002.1
26000,21035
26100,21071.4
26200,21106.9
26300,21136
26400,21167.3
26500,21206.9
26600,21241.1
26700,21272.2
26800,21306.7
26900,21339.7
27000,21369.9
27100,21404.8
27200,21439.8
27300,21474.8
27400,21508.7
27500,21544.4
27600,21581.1
27700,21607.7
27800,21640.8
27900,21669
28000,21698.8
28100,21732.2
28200,21762.1
28300,21786.4
28400,21819.9
28500,21850.7
28600,21876.4
28700,21908.3
28800,21937
28900,21966.8
29000,21991.4
29100,22018.8
29200,22048.7
29300,22075.3
29400,22101.2
29500,22131
29600,22159.9
29700,22190.9
29800,22220.9
29900,22250.7
30000,22283.1
30100,22312.4
30200,22337.7
30300,22363.6
30400,22395.7
30500,22422.2
30600,22446.6
30700,22470
30800,22494.7
30900,22520.9
31000,22547.1
31100,22575.8
31200,22601.7
31300,22628.4
31400,22658.6
31500,22689.8
31600,22718.7
31700,22742.4
31800,22774.3
31900,22798.9
32000,22823.7
32100,22854.9
32200,22884.4
32300,22910.2
32400,22935.4
32500,22962.9
32600,22989.1
32700,23019
32800,23041.1
32900,23066.1
33000,23085.8
33100,23112.1
33200,23134.8
33300,23158.7
33400,23185.8
33500,23212.1
33600,23240.4
33700,23263.1
33800,23288.8
33900,23316.6
34000,23343
34100,23367.9
34200,23388.1
34300,23418.4
34400,23444.3
34500,23469
34600,23491.4
34700,23524.2
34800,23550.1
34900,23572.3
35000,23599.8
